Name,Address,Rating,Types,Latitude,Longitude,Image Path,City
Ghouri brothers wedding decorations shop,"Plot no 131, 9b, Sector 9-B lagry chouck bailda town, Karachi",0.0,"point_of_interest, establishment",24.9399052,66.961423,place_images/Ghouri brothers wedding decorations shop.jpg,Karachi
Ameen Decorations service,"TP2 Main Rd, Mehmoodabad Karachi",5.0,"point_of_interest, establishment",24.8525526,67.07240879999999,N/A,Karachi
SajaneWala,"Shop #01, SA-10, near Rangoonwala Hall, Bahadurabad Karachi",5.0,"point_of_interest, establishment",24.8861889,67.07447499999999,place_images/SajaneWala.jpg,Karachi
Ovais Decorations,"Block 4-A hammad corner Gulshan-e-iqbal، Abul Hasan Isphani Road Near Park.، Arshad Sabri Road, Block 4 A Gulshan-e-Iqbal, Karachi",3.7,"point_of_interest, establishment",24.9414377,67.0981441,place_images/Ovais Decorations.jpg,Karachi
nasir4u Birthday Planners karachi,"D4, Ambreen Apartments, Rashid Minhas Rd, near Imtiaz Store, Block 2 Gulshan-e-Iqbal, Karachi",4.6,"point_of_interest, establishment",24.9265641,67.0883521,place_images/nasir4u Birthday Planners karachi.jpg,Karachi
Joy Planner | Birthday Event Planner,"D.H.A. Phase 4 Phase 4 Defence Housing Authority, Karachi",4.9,"home_goods_store, point_of_interest, store, establishment",24.8236038,67.06207180000001,place_images/Joy Planner | Birthday Event Planner.jpg,Karachi
Asad Marriage decorations shop,"W2J8+V2P, Metroville Banaras Colony 1, Karachi",5.0,"point_of_interest, establishment",24.9323034,67.0150994,place_images/Asad Marriage decorations shop.jpg,Karachi
Memon Event Planner,"Nazimabad Rd Number 3, Nazimabad 3 Block 3 Nazimabad, Karachi",4.8,"point_of_interest, establishment",24.9149089,67.0298475,place_images/Memon Event Planner.jpg,Karachi
ZAF Event Management,"A، 521 Sardar Ali Sabri Rd, Block 5 Gulshan-e-Iqbal, Karachi",4.5,"point_of_interest, establishment",24.9181544,67.0915208,place_images/ZAF Event Management.jpg,Karachi
AJ Events Planner,"B 10, Block 1 Gulshan-e-Iqbal, Karachi",4.9,"point_of_interest, establishment",24.9178363,67.0825534,place_images/AJ Events Planner.jpg,Karachi
Eventualle Events,"C 22, 1, opposite E Street, near Turkish embassy, Block 4 Clifton, Karachi",4.3,"point_of_interest, establishment",24.8060985,67.0340241,place_images/Eventualle Events.jpg,Karachi
Flower Heaven Decor,"First Floor, Bungalow A417, near Continental Bakery Karachi, Block 1 Karachi",5.0,"florist, point_of_interest, store, establishment",24.921643,67.0851909,place_images/Flower Heaven Decor.jpg,Karachi
